RUL_Years,Prior_PDF,Intermediate_PDF,Posterior_PDF
5.841683366733466,0.007533768626007619,0.00023680693203917852,1.0491842657660888e-14
5.871743486973948,0.007685827943558348,0.0002518617584670339,1.4414124161150637e-14
5.901803607214429,0.007840378020444192,0.0002677989869327888,1.977092958490844e-14
5.9318637274549095,0.007997445913069492,0.00028466528427831944,2.707498726320541e-14
5.961923847695391,0.008157058658150591,0.0003025094617005284,3.701789963630523e-14
5.991983967935871,0.008319243264264916,0.00032138255365478775,5.0530969084716476e-14
6.022044088176353,0.008484026703241495,0.00034133789851970394,6.886615279653988e-14
6.052104208416834,0.008651435901393693,0.00036243122099445757,9.370361748352135e-14
6.082164328657314,0.008821497730594917,0.00038472071619471255,1.2729438112349406e-13
6.112224448897796,0.008994238999198188,0.0004082671354075393,1.7264915277338906e-13
6.142284569138276,0.009169686442800477,0.00043313387346000673,2.337878892968036e-13
6.1723446893787575,0.009347866714853032,0.000459387057650091,3.1606900521441447e-13
6.202404809619239,0.009528806377118707,0.0004870956381821984,4.266228867603698e-13
6.232464929859719,0.009712531889977696,0.0005163314800431151,5.749217403070179e-13
6.2625250501002006,0.009899069602583008,0.0005471694562473605,7.735273145858282e-13
6.292585170340681,0.010088445742867146,0.0005796875423738799,1.0390702664728833e-12
6.322645290581162,0.010280686407401688,0.0006139669123087516,1.3935306391873141e-12
6.352705410821644,0.010475817551111351,0.0006500920351009876,1.8659090335604577e-12
6.382765531062124,0.010673864976844421,0.0006881507728308302,2.4944037668515465e-12
6.412825651302605,0.01087485432480148,0.0007282344793818483,3.3292421244369474e-12
6.442885771543086,0.011078811061824363,0.0007704380999999839,4.436355592824728e-12
6.472945891783567,0.0112857604705477,0.000814860271514237,5.902142064797124e-12
6.5030060120240485,0.011495727638415044,0.000861603423085024,7.839625359823638e-12
6.533066132264529,0.011708737446562116,0.0009107738773374236,1.0396407656841144e-11
6.56312625250501,0.011924814558569636,0.0009624819517274699,1.3764918131547807e-11
6.593186372745491,0.012143983409088233,0.001016842059980492,1.8195596856932612e-11
6.623246492985972,0.012366268192338334,0.0010739728134311131,2.4013823831401485e-11
6.653306613226453,0.012591692850487664,0.001133997122085022,3.1641617445858386e-11
6.683366733466934,0.012820281061909378,0.0011970422952130317,4.1625395385416477e-11
6.713426853707414,0.013052056229323952,0.0012632401412781995,5.467142690404077e-11
6.7434869739478955,0.013287041467827896,0.0013327270669869012,7.169102457468201e-11
6.773547094188377,0.013525259592812608,0.0014056441752449433,9.385804552713544e-11
6.803607214428858,0.013766733107776902,0.0014821373617898085,1.2268192066186625e-10
6.833667334669339,0.014011484192036528,0.0015623574102601515,1.6010023436369533e-10
6.863727454909819,0.014259534688334479,0.0016464600854537124,2.0859587203671814e-10
6.8937875751503,0.0145109060903558,0.0017346062245148655,2.713449809759046e-10
6.923847695390782,0.014765619530150735,0.001826961825783134,3.524035031888613e-10
6.953907815631262,0.015023695765470335,0.0019236981350241786,4.5694189885191416e-10
6.9839679358717435,0.015285155167018475,0.002024991728755052,5.915399607318693e-10
7.014028056112224,0.015550017705624548,0.0021310245943659926,7.645564125664905e-10
7.044088176352705,0.0158183029393413,0.0022419842067315982,9.865913950130687e-10
7.074148296593187,0.016090030000472075,0.002358063600995019,1.2710640988708844e-09
7.104208416833668,0.016365217582532184,0.002479461441199941,1.6349328585253988e-09
7.134268537074148,0.016643883927149,0.0026063820844364053,2.099591148825429e-09
7.164328657314629,0.016926046810905628,0.0027390356401581304,2.691980348634498e-09
7.19438877755511,0.017211723532133003,0.0028776380243210786,3.445969094996768e-09
7.224448897795591,0.017500930897655427,0.0030224110079852635,4.404059848283735e-09
7.254509018036072,0.01779368520949478,0.0031735822600148433,5.61949626680053e-09
7.284569138276553,0.018090002251538513,0.0033313853835045017,7.158860553566571e-09
7.314629258517034,0.018389897276176796,0.0034960599455541577,9.105268559692785e-09
7.344689378757515,0.018693384990914406,0.0036678515000083648,1.1562292655588283e-08
7.374749498997996,0.01900047954496255,0.0038470116027715406,1.4658768847346015e-08
7.404809619238477,0.019311194515816765,0.004033797819305897,1.8554676053184983e-08
7.434869739478958,0.0196255428958263,0.004228473723915209,2.344831270599998e-08
7.4649298597194385,0.01994353707876084,0.0044313088904143335,2.9585039878525013e-08
7.49498997995992,0.020265188846380813,0.004642578873782423,3.726791204051831e-08
7.525050100200401,0.020590509355016943,0.004862565182396025,4.6870577608385435e-08
7.5551102204408815,0.020919509122165475,0.005091555240438015,5.8852903060635836e-08
7.585170340681362,0.021252198013105204,0.005329842340078221,7.3779858175698e-08
7.615230460921843,0.021588585227542638,0.005577725583023139,9.23442977109372e-08
7.645290581162325,0.021928679286291556,0.005835509811034153,1.153943886094535e-07
7.675350701402806,0.022272488017993825,0.006103505525017134,1.4396656385383836e-07
7.705410821643286,0.022620018545887594,0.0063820287922902435,1.793250368911786e-07
7.735470941883767,0.022971277274629866,0.006671401141642489,2.2300908690069394e-07
7.765531062124248,0.023326269877180037,0.006971949445801906,2.7688952810692067e-07
7.7955911823647295,0.02368500128175107,0.007284005790939914,3.432360091812744e-07
7.825651302605211,0.024047475658835523,0.007607907332847429,4.247970551324838e-07
7.855711422845691,0.024413696408312997,0.007943996139428334,5.248950678561758e-07
7.885771543086172,0.02478366614664626,0.008292619019167278,6.47538846867758e-07
7.915831663326653,0.025157386694173084,0.008654127335241492,7.975565831155636e-07
7.945891783567134,0.025534859062500616,0.009028876804960246,9.807527208366096e-07
7.975951903807616,0.02591608344201002,0.0094172272842312,1.2040925800532564e-06
8.006012024048097,0.026301059189478077,0.009819542536768986,1.4759191905491298e-06
8.036072144288577,0.026689784815823347,0.01023618998778005,1.8062074121358499e-06
8.066132264529058,0.027082257973984204,0.010667540461877073,2.20686111087251e-06
8.09619238476954,0.02747847544693574,0.01111396790499658,2.6920599316900625e-06
8.12625250501002,0.0278784331358535,0.011575849090116707,3.278663059468179e-06
8.1563126252505,0.02828212604843103,0.012053563306594645,3.98667829753637e-06
8.186372745490981,0.028689548287359028,0.012547492032969298,4.839805818848255e-06
8.216432865731463,0.02910069303897317,0.013058018593100124,5.866067064033294e-06
8.246492985971944,0.029515552562078582,0.013585527795542226,7.098530474585487e-06
8.276553106212425,0.02993411817695817,0.0141304055560861,8.57614705985595e-06
8.306613226452907,0.03035638025457243,0.014693038503421229,1.0344710203108157e-05
8.336673346693386,0.030782328205958335,0.015273813567914922,1.2457955612755083e-05
8.366733466933868,0.031211950471834865,0.01587311755353113,1.4978818916048449e-05
8.396793587174349,0.03164523451242237,0.01649133669294762,1.7980870067517407e-05
8.426853707414828,0.03208216679748395,0.01712885618596702,2.154994549414696e-05
8.45691382765531,0.03252273279659589,0.017786059721353397,2.5786000711196303e-05
8.486973947895791,0.032966916969654744,0.018463328982263615,3.080520800062823e-05
8.517034068136272,0.03341470275762869,0.019161043135483783,3.674232562822923e-05
8.547094188376754,0.03386607257356063,0.019879578304719203,4.3753366961024995e-05
8.577154308617235,0.034321007793830294,0.020619307028228822,5.201859970404025e-05
8.607214428857716,0.03477948874968304,0.02138059770113731,6.174590726999175e-05
8.637274549098196,0.03524149471903238,0.022163814002799907,7.317454598667138e-05
8.667334669338677,0.03570700391854412,0.022969314309640287,8.657933338811571e-05
8.697394789579159,0.03617599349600845,0.023797451093924678,0.00010227530417447091
8.727454909819638,0.03664843952300835,0.024648570308981863,0.00012062287150271175
8.75751503006012,0.03712431698789078,0.025523010761423347,0.00014203353202046158
8.7875751503006,0.03760359978904769,0.026421103470963346,0.00016697615340616168
8.817635270541082,0.038086260728514405,0.027343171018486656,0.00019598388305267858
8.847695390781563,0.038572271505891945,0.028289526883055686,0.0002296617158440037
8.877755511022045,0.039061602712600285,0.02926047476859706,0.0002686947576369085
8.907815631262524,0.03955422382646941,0.030256307921053282,0.00031385721897739943
8.937875751503006,0.04005010320667491,0.03127730843683146,0.00036602217065845154
8.967935871743487,0.04054920808902447,0.03232374656342654,0.000426172088861123
8.997995991983968,0.04105150458160216,0.03339587999314359,0.000495410212715818
9.028056112224448,0.04155695766077673,0.03449395315088652,0.0005749727310746107
9.05811623246493,0.042065531167580425,0.035618196477026826,0.0006662418080034769
9.08817635270541,0.04257718780446395,0.036768825706407667,0.0007707594478940234
9.118236472945892,0.043091889132434544,0.03794604114458324,0.0008902421910757936
9.148296593186373,0.04360959556858239,0.039150026942432824,0.0010265966193103188
9.178356713426854,0.04413026638400152,0.040380950370330224,0.0011819356375099537
9.208416833667336,0.04465385970211087,0.041638961093088005,0.00135859548340776
9.238476953907815,0.045180332497380946,0.04292419044693307,0.0015591534006904016
9.268537074148297,0.04570964059447182,0.04423675071980599,0.0017864458932998898
9.298597194388776,0.04624173866778698,0.045576734436309656,0.0020435874592452537
9.328657314629258,0.04677658024144922,0.04694421364866642,0.0023339896814088394
9.358717434869739,0.04731411768970247,0.04833923923507017,0.002661380530582874
9.38877755511022,0.0478543022377451,0.049761840206849976,0.003029823712473196
9.418837675350701,0.04839708396299896,0.051212023025885234,0.003443737865837154
9.448897795591183,0.04894241179681857,0.05268977093373597,0.0039079153935106395
9.478957915831664,0.04949023352664496,0.054195043293971505,0.004427540682096296
9.509018036072144,0.050040495798607997,0.055727774949198235,0.005008207439852342
9.539078156312625,0.0505931441205814,0.057287875594302304,0.005655934856209272
9.569138276553106,0.05114812286569364,0.0588752291674321,0.0063771822607658095
9.599198396793586,0.05170537527629878,0.06048969326025717,0.0071788619350442754
9.629258517034067,0.052264843468410434,0.062131098549042814,0.008068349707223968
9.659318637274549,0.05282646843660142,0.06379924824808071,0.009053492939072861
9.68937875751503,0.053390190059372955,0.06549391758701727,0.010142615495949586
9.719438877755511,0.05395594710499524,0.06721485331361297,0.01134451927566141
9.749498997995993,0.05452367723782224,0.0689617732234586,0.01266848186078249
9.779559118236474,0.05509331702508308,0.07073436571816157,0.014124249852406718
9.809619238476953,0.055664801944151625,0.07253228939349886,0.015722027441885073
9.839679358717435,0.0562380663902967,0.07435517265901384,0.01747245978152149
9.869739478957916,0.05681304368491365,0.07620261339050796,0.019386610726088896
9.899799599198396,0.05738966608423946,0.07807417861685394,0.021475934534970414
